review_tokens_SR,Sentimen,sentimen
baunya aneh apek bau besi tempatnya pernah pakai sabun bau enggak pernah jadi kurang nyaman pakainya sekarang,Netral,"{'classified_text': 'baunya aneh [-2] apek bau [-4] besi tempatnya pernah pakai sabun bau [-4] enggak pernah jadi kurang [-2] nyaman [2] pakainya sekarang', 'tweet_text': ' baunya aneh apek bau besi tempatnya pernah pakai sabun bau enggak pernah jadi kurang nyaman pakainya sekarang', 'sentence_score': ['baunya aneh [-2] apek bau [-4] besi tempatnya pernah pakai sabun bau [-4] enggak pernah jadi kurang [-2] nyaman [2] pakainya sekarang'], 'max_positive': 2, 'max_negative': -4, 'kelas': 'negatif'}"
dulu selalu jadi langganan solusi kalau jerawatan bulan kebetulan breakout pikir lama langsung checkout holy grail love you serebu,Netral,"{'classified_text': 'dulu selalu jadi langganan solusi kalau jerawatan bulan kebetulan breakout pikir lama [-2] langsung checkout holy grail love you serebu', 'tweet_text': ' dulu selalu jadi langganan solusi kalau jerawatan bulan kebetulan breakout pikir lama langsung checkout holy grail love you serebu', 'sentence_score': ['dulu selalu jadi langganan solusi kalau jerawatan bulan kebetulan breakout pikir lama [-2] langsung checkout holy grail love you serebu'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}"
barang selamat packagingnya aman semoga cocok,Positif,"{'classified_text': 'barang selamat [4] packagingnya aman [4] semoga cocok [3]', 'tweet_text': ' barang selamat packagingnya aman semoga cocok', 'sentence_score': ['barang selamat [4] packagingnya aman [4] semoga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
baru pertama kali coba semoga cocok thank you seller,Positif,"{'classified_text': 'baru pertama kali coba semoga cocok [3] thank you seller', 'tweet_text': ' baru pertama kali coba semoga cocok thank you seller', 'sentence_score': ['baru pertama kali coba semoga cocok [3] thank you seller'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
barang selamat,Negatif,"{'classified_text': 'barang selamat [4]', 'tweet_text': ' barang selamat', 'sentence_score': ['barang selamat [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
packing rapi aman barang sesuai pesanan,Netral,"{'classified_text': 'packing rapi [4] aman [5] barang sesuai [3] pesanan', 'tweet_text': ' packing rapi aman barang sesuai pesanan', 'sentence_score': ['packing rapi [4] aman [5] barang sesuai [3] pesanan'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
this moisturizer is seriously game changer love how one bottle could last me months,Netral,"{'classified_text': 'this moisturizer is seriously game changer love how one bottle could last me months', 'tweet_text': ' this moisturizer is seriously game changer love how one bottle could last me months', 'sentence_score': ['this moisturizer is seriously game changer love how one bottle could last me months'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
baru mencoba pertama kali semoga cocok reviewnya bagus,Netral,"{'classified_text': 'baru mencoba pertama kali semoga cocok [3] reviewnya bagus [4]', 'tweet_text': ' baru mencoba pertama kali semoga cocok reviewnya bagus', 'sentence_score': ['baru mencoba pertama kali semoga cocok [3] reviewnya bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
mantap sesuai semoga cocok,Netral,"{'classified_text': 'mantap [4] sesuai [4] semoga cocok [3]', 'tweet_text': ' mantap sesuai semoga cocok', 'sentence_score': ['mantap [4] sesuai [4] semoga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tadinya mau beli diofflinestore mahal banget pas cek dionline store nya cuma potongan sama flashsale langsung beli,Positif,"{'classified_text': 'tadinya mau beli diofflinestore mahal [-4] banget pas cek dionline store nya cuma [-2] potongan sama flashsale langsung beli', 'tweet_text': ' tadinya mau beli diofflinestore mahal banget pas cek dionline store nya cuma potongan sama flashsale langsung beli', 'sentence_score': ['tadinya mau beli diofflinestore mahal [-4] banget pas cek dionline store nya cuma [-2] potongan sama flashsale langsung beli'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
terima kasih,Positif,"{'classified_text': 'terima kasih [4]', 'tweet_text': ' terima kasih', 'sentence_score': ['terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
terima kasih,Netral,"{'classified_text': 'terima kasih [4]', 'tweet_text': ' terima kasih', 'sentence_score': ['terima kasih [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
terima kasih tumben enggak gift nya,Netral,"{'classified_text': 'terima kasih [4] tumben enggak gift nya', 'tweet_text': ' terima kasih tumben enggak gift nya', 'sentence_score': ['terima kasih [4] tumben enggak gift nya'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku berminyak masalah kulitku jerawat semoga cocok sama rangkaian terima kasih,Netral,"{'classified_text': 'tipe kulitku berminyak masalah [-4] kulitku jerawat semoga cocok [3] sama rangkaian terima kasih [4]', 'tweet_text': ' tipe kulitku berminyak masalah kulitku jerawat semoga cocok sama rangkaian terima kasih', 'sentence_score': ['tipe kulitku berminyak masalah [-4] kulitku jerawat semoga cocok [3] sama rangkaian terima kasih [4]'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
semingguan pakai muka jadi bruntusan enggak tau memang efek samping pemakaian memang enggak cocok,Netral,"{'classified_text': 'semingguan pakai muka jadi bruntusan enggak tau memang efek samping pemakaian memang enggak cocok [-3]', 'tweet_text': ' semingguan pakai muka jadi bruntusan enggak tau memang efek samping pemakaian memang enggak cocok', 'sentence_score': ['semingguan pakai muka jadi bruntusan enggak tau memang efek samping pemakaian memang enggak cocok [-3]'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
bagus,Positif,"{'classified_text': 'bagus [4]', 'tweet_text': ' bagus', 'sentence_score': ['bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
pengirimannya cukup cepat barang dikirimkan sesuai pesanan expired datenya,Positif,"{'classified_text': 'pengirimannya cukup [3] cepat [5] barang dikirimkan sesuai [3] pesanan expired datenya', 'tweet_text': ' pengirimannya cukup cepat barang dikirimkan sesuai pesanan expired datenya', 'sentence_score': ['pengirimannya cukup [3] cepat [5] barang dikirimkan sesuai [3] pesanan expired datenya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
cocok dikulit enggak kering tertarik pengiriman cepat mantap,Positif,"{'classified_text': 'cocok [3] dikulit enggak kering tertarik [4] pengiriman cepat [4] mantap [5]', 'tweet_text': ' cocok dikulit enggak kering tertarik pengiriman cepat mantap', 'sentence_score': ['cocok [3] dikulit enggak kering tertarik [4] pengiriman cepat [4] mantap [5]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
lipstiknya mudah patah saran kalau pakai jangan diulur terlalu panjang,Positif,"{'classified_text': 'lipstiknya mudah [3] patah saran kalau pakai jangan diulur terlalu panjang [3]', 'tweet_text': ' lipstiknya mudah patah saran kalau pakai jangan diulur terlalu panjang', 'sentence_score': ['lipstiknya mudah [3] patah saran kalau pakai jangan diulur terlalu panjang [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
barang lengkap packing aman rapi coba productnya semoga cocok tipe kulitku normal,Positif,"{'classified_text': 'barang lengkap packing aman [4] rapi [5] coba productnya semoga cocok [3] tipe kulitku normal [-1]', 'tweet_text': ' barang lengkap packing aman rapi coba productnya semoga cocok tipe kulitku normal', 'sentence_score': ['barang lengkap packing aman [4] rapi [5] coba productnya semoga cocok [3] tipe kulitku normal [-1]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
bacanya review nya bagus mudahan cocok terima kasih bonusnya pas banget pas butuh,Positif,"{'classified_text': 'bacanya review nya bagus [4] mudahan cocok [3] terima kasih [4] bonusnya pas banget pas butuh', 'tweet_text': ' bacanya review nya bagus mudahan cocok terima kasih bonusnya pas banget pas butuh', 'sentence_score': ['bacanya review nya bagus [4] mudahan cocok [3] terima kasih [4] bonusnya pas banget pas butuh'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
cocok dikulit pakai jerawat biji pipi meradang malam dikasih besoknya mendingan kempes,Netral,"{'classified_text': 'cocok [3] dikulit pakai jerawat biji pipi meradang malam dikasih besoknya mendingan kempes', 'tweet_text': ' cocok dikulit pakai jerawat biji pipi meradang malam dikasih besoknya mendingan kempes', 'sentence_score': ['cocok [3] dikulit pakai jerawat biji pipi meradang malam dikasih besoknya mendingan kempes'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
sebenarnya bagus aku jatuhnya bikin bibir kering walaupun pakai lipstick pakai lipbalm warnanya pigmented banget merah queennya bagus banget,Netral,"{'classified_text': 'sebenarnya [3] bagus [5] aku jatuhnya bikin bibir kering walaupun pakai lipstick pakai lipbalm warnanya pigmented banget merah queennya bagus [5] banget', 'tweet_text': ' sebenarnya bagus aku jatuhnya bikin bibir kering walaupun pakai lipstick pakai lipbalm warnanya pigmented banget merah queennya bagus banget', 'sentence_score': ['sebenarnya [3] bagus [5] aku jatuhnya bikin bibir kering walaupun pakai lipstick pakai lipbalm warnanya pigmented banget merah queennya bagus [5] banget'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
exp date lama pengirimannya cepat diskonnya lumayan thanks somethinc,Positif,"{'classified_text': 'exp date lama [-2] pengirimannya cepat [4] diskonnya lumayan [2] thanks somethinc', 'tweet_text': ' exp date lama pengirimannya cepat diskonnya lumayan thanks somethinc', 'sentence_score': ['exp date lama [-2] pengirimannya cepat [4] diskonnya lumayan [2] thanks somethinc'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
semoga cocok kulitku sensitif banyak teman rekomen coba jadi langsung aku checkout,Positif,"{'classified_text': 'semoga cocok [3] kulitku sensitif [-2] banyak teman rekomen coba jadi langsung aku checkout', 'tweet_text': ' semoga cocok kulitku sensitif banyak teman rekomen coba jadi langsung aku checkout', 'sentence_score': ['semoga cocok [3] kulitku sensitif [-2] banyak teman rekomen coba jadi langsung aku checkout'], 'max_positive': 3, 'max_negative': -2, 'kelas': 'positif'}"
dicoba semoga cocok,Netral,"{'classified_text': 'dicoba semoga cocok [3]', 'tweet_text': ' dicoba semoga cocok', 'sentence_score': ['dicoba semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
paket aman semoga cocok,Positif,"{'classified_text': 'paket aman [4] semoga cocok [3]', 'tweet_text': ' paket aman semoga cocok', 'sentence_score': ['paket aman [4] semoga cocok [3]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,Netral,"{'classified_text': 'tipe kulitku berminyak tipe kulitku kering tipe kulitku normal [-1] tipe kulitku kombinasi tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat', 'tweet_text': ' tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat', 'sentence_score': ['tipe kulitku berminyak tipe kulitku kering tipe kulitku normal [-1] tipe kulitku kombinasi tipe kulitku sensitif [-2] masalah [-5] kulitku jerawat'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
kiriman cepat packing bagus,Positif,"{'classified_text': 'kiriman cepat [4] packing bagus [4]', 'tweet_text': ' kiriman cepat packing bagus', 'sentence_score': ['kiriman cepat [4] packing bagus [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
sesuai deskripsi,Positif,"{'classified_text': 'sesuai [3] deskripsi', 'tweet_text': ' sesuai deskripsi', 'sentence_score': ['sesuai [3] deskripsi'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
ingredients nya bikin penasaran jadi pengin mencoba sejauh selalu repurchase produk avo selalu cocok aaaa,Positif,"{'classified_text': 'ingredients nya bikin penasaran jadi pengin mencoba sejauh selalu repurchase produk avo selalu cocok [3] a [2]', 'tweet_text': ' ingredients nya bikin penasaran jadi pengin mencoba sejauh selalu repurchase produk avo selalu cocok a', 'sentence_score': ['ingredients nya bikin penasaran jadi pengin mencoba sejauh selalu repurchase produk avo selalu cocok [3] a [2]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
pengirimannya lama banget diganti kurirnya,Negatif,"{'classified_text': 'pengirimannya lama [-3] banget diganti kurirnya', 'tweet_text': ' pengirimannya lama banget diganti kurirnya', 'sentence_score': ['pengirimannya lama [-3] banget diganti kurirnya'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
pengemasan oke semoga cocok,Positif,"{'classified_text': 'pengemasan oke [3] semoga cocok [3]', 'tweet_text': ' pengemasan oke semoga cocok', 'sentence_score': ['pengemasan oke [3] semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
semoga cocok,Netral,"{'classified_text': 'semoga cocok [3]', 'tweet_text': ' semoga cocok', 'sentence_score': ['semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
bintang pertamanya dikirimin expired pembelian harga normal beli chat tanya perbedaan harga normal sale sale expired normal expired walaupun akhirnya return ganti expired proses return nya ribet banget terutama pihak expedisi sicepat segera pick up hari maksudnya kalau awal teliti enggak perlu buang waktu mengurusi return nya semoga kedepannya makin teliti packing aman bagus admin responsive thank you,Negatif,"{'classified_text': 'bintang pertamanya dikirimin expired pembelian harga normal [-1] beli chat tanya perbedaan harga normal [-1] sale sale expired normal [-1] expired walaupun akhirnya return ganti expired proses return nya ribet banget terutama pihak expedisi sicepat segera pick up hari maksudnya kalau awal teliti enggak perlu buang [-3] waktu mengurusi return nya semoga kedepannya makin teliti packing aman [4] bagus [5] admin responsive thank you', 'tweet_text': ' bintang pertamanya dikirimin expired pembelian harga normal beli chat tanya perbedaan harga normal sale sale expired normal expired walaupun akhirnya return ganti expired proses return nya ribet banget terutama pihak expedisi sicepat segera pick up hari maksudnya kalau awal teliti enggak perlu buang waktu mengurusi return nya semoga kedepannya makin teliti packing aman bagus admin responsive thank you', 'sentence_score': ['bintang pertamanya dikirimin expired pembelian harga normal [-1] beli chat tanya perbedaan harga normal [-1] sale sale expired normal [-1] expired walaupun akhirnya return ganti expired proses return nya ribet banget terutama pihak expedisi sicepat segera pick up hari maksudnya kalau awal teliti enggak perlu buang [-3] waktu mengurusi return nya semoga kedepannya makin teliti packing aman [4] bagus [5] admin responsive thank you'], 'max_positive': 5, 'max_negative': -3, 'kelas': 'positif'}"
packing aman expired lama,Positif,"{'classified_text': 'packing aman [4] expired lama [-2]', 'tweet_text': ' packing aman expired lama', 'sentence_score': ['packing aman [4] expired lama [-2]'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
huhu serum nya datang cepat banget pengiriman beli harga diskon baru pertama pakai semoga cocok muka ku tipe kulitku normal,Positif,"{'classified_text': 'huhu serum nya datang cepat [5] banget pengiriman beli harga diskon baru pertama pakai semoga cocok [3] muka ku tipe kulitku normal [-1]', 'tweet_text': ' huhu serum nya datang cepat banget pengiriman beli harga diskon baru pertama pakai semoga cocok muka ku tipe kulitku normal', 'sentence_score': ['huhu serum nya datang cepat [5] banget pengiriman beli harga diskon baru pertama pakai semoga cocok [3] muka ku tipe kulitku normal [-1]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku sensitif,Netral,"{'classified_text': 'tipe kulitku sensitif [-2]', 'tweet_text': ' tipe kulitku sensitif', 'sentence_score': ['tipe kulitku sensitif [-2]'], 'max_positive': 1, 'max_negative': -2, 'kelas': 'negatif'}"
paket lempar sama kurir jelas jelas tulisan fragile dusnya,Negatif,"{'classified_text': 'paket lempar sama kurir jelas [4] jelas [5] tulisan fragile dusnya', 'tweet_text': ' paket lempar sama kurir jelas jelas tulisan fragile dusnya', 'sentence_score': ['paket lempar sama kurir jelas [4] jelas [5] tulisan fragile dusnya'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
barang baru pertama kali mencoba semoga cocok,Netral,"{'classified_text': 'barang baru pertama kali mencoba semoga cocok [3]', 'tweet_text': ' barang baru pertama kali mencoba semoga cocok', 'sentence_score': ['barang baru pertama kali mencoba semoga cocok [3]'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
serum terbaik buat memperbaiki skin barier rusak pakai serum sejak hasilnya jerawatku enggak pernah muncul kulitku jadi enggak pernah rewel please jangan enggak produksi serum jadi pakai kulit aku,Positif,"{'classified_text': 'serum terbaik [4] buat memperbaiki skin barier rusak [-4] pakai serum sejak hasilnya jerawatku enggak pernah muncul kulitku jadi enggak pernah rewel [-2] please jangan enggak produksi serum jadi pakai kulit aku', 'tweet_text': ' serum terbaik buat memperbaiki skin barier rusak pakai serum sejak hasilnya jerawatku enggak pernah muncul kulitku jadi enggak pernah rewel please jangan enggak produksi serum jadi pakai kulit aku', 'sentence_score': ['serum terbaik [4] buat memperbaiki skin barier rusak [-4] pakai serum sejak hasilnya jerawatku enggak pernah muncul kulitku jadi enggak pernah rewel [-2] please jangan enggak produksi serum jadi pakai kulit aku'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
mencari alternatif ingredients menyamarkan bekas jerawat aku enggak cocok sama vit niacin alpha arbutin,Netral,"{'classified_text': 'mencari alternatif ingredients menyamarkan [-3] bekas [-5] jerawat aku enggak cocok [-3] sama vit niacin alpha arbutin', 'tweet_text': ' mencari alternatif ingredients menyamarkan bekas jerawat aku enggak cocok sama vit niacin alpha arbutin', 'sentence_score': ['mencari alternatif ingredients menyamarkan [-3] bekas [-5] jerawat aku enggak cocok [-3] sama vit niacin alpha arbutin'], 'max_positive': 1, 'max_negative': -5, 'kelas': 'negatif'}"
dulu pernah memakai ngefek banget kulit bikin jadi lembab enggak beruntusan dibarengin sama refining tonernya,Positif,"{'classified_text': 'dulu pernah memakai ngefek banget kulit bikin jadi lembab enggak beruntusan dibarengin sama refining tonernya', 'tweet_text': ' dulu pernah memakai ngefek banget kulit bikin jadi lembab enggak beruntusan dibarengin sama refining tonernya', 'sentence_score': ['dulu pernah memakai ngefek banget kulit bikin jadi lembab enggak beruntusan dibarengin sama refining tonernya'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
pesan tanggal dikirim tanggal padahal tanggal dibawa terbang kecewa kali mendapatkan pelayanan kurang menyenangkan padahal produk bagus menjadi pengguna tetap avoskin,Negatif,"{'classified_text': 'pesan tanggal dikirim tanggal padahal tanggal dibawa terbang kecewa [-4] kali mendapatkan pelayanan kurang [-2] menyenangkan [2] padahal produk bagus [4] menjadi pengguna tetap avoskin', 'tweet_text': ' pesan tanggal dikirim tanggal padahal tanggal dibawa terbang kecewa kali mendapatkan pelayanan kurang menyenangkan padahal produk bagus menjadi pengguna tetap avoskin', 'sentence_score': ['pesan tanggal dikirim tanggal padahal tanggal dibawa terbang kecewa [-4] kali mendapatkan pelayanan kurang [-2] menyenangkan [2] padahal produk bagus [4] menjadi pengguna tetap avoskin'], 'max_positive': 4, 'max_negative': -4, 'kelas': 'netral'}"
bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman enggak bublewrapnya padahal perjalanan jauh sidoarjo jakarta,Negatif,"{'classified_text': 'bagus [4] sih produknya cocok [3] cuma sedikit kecewa [-1] packagingnya kurang [-2] aman [2] enggak bublewrapnya padahal perjalanan jauh [-2] sidoarjo jakarta', 'tweet_text': ' bagus sih produknya cocok cuma sedikit kecewa packagingnya kurang aman enggak bublewrapnya padahal perjalanan jauh sidoarjo jakarta', 'sentence_score': ['bagus [4] sih produknya cocok [3] cuma sedikit kecewa [-1] packagingnya kurang [-2] aman [2] enggak bublewrapnya padahal perjalanan jauh [-2] sidoarjo jakarta'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
pengirimannya pakai sicepat sangat lambat gudang tanggal baru diantar rumah tanggal sayang banget enggak sesuai nama,Negatif,"{'classified_text': 'pengirimannya pakai sicepat sangat lambat [-5] gudang tanggal baru diantar rumah tanggal sayang [5] banget enggak sesuai [-3] nama', 'tweet_text': ' pengirimannya pakai sicepat sangat lambat gudang tanggal baru diantar rumah tanggal sayang banget enggak sesuai nama', 'sentence_score': ['pengirimannya pakai sicepat sangat lambat [-5] gudang tanggal baru diantar rumah tanggal sayang [5] banget enggak sesuai [-3] nama'], 'max_positive': 5, 'max_negative': -5, 'kelas': 'netral'}"
paket diterima keadaan baik,Positif,"{'classified_text': 'paket diterima keadaan baik [4]', 'tweet_text': ' paket diterima keadaan baik', 'sentence_score': ['paket diterima keadaan baik [4]'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
baru pertama pakai semoga cocok min tipe kulitku berminyak tipe kulitku kombinasi,Netral,"{'classified_text': 'baru pertama pakai semoga cocok [3] min tipe kulitku berminyak tipe kulitku kombinasi', 'tweet_text': ' baru pertama pakai semoga cocok min tipe kulitku berminyak tipe kulitku kombinasi', 'sentence_score': ['baru pertama pakai semoga cocok [3] min tipe kulitku berminyak tipe kulitku kombinasi'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
fast respon,Positif,"{'classified_text': 'fast respon', 'tweet_text': ' fast respon', 'sentence_score': ['fast respon'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
nice,Positif,"{'classified_text': 'nice', 'tweet_text': ' nice', 'sentence_score': ['nice'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
worth the price pcs harga cashback,Netral,"{'classified_text': 'worth the price pcs harga cashback', 'tweet_text': ' worth the price pcs harga cashback', 'sentence_score': ['worth the price pcs harga cashback'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
thanks,Positif,"{'classified_text': 'thanks', 'tweet_text': ' thanks', 'sentence_score': ['thanks'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
packing aman banget semoga cocok,Positif,"{'classified_text': 'packing aman [5] banget semoga cocok [3]', 'tweet_text': ' packing aman banget semoga cocok', 'sentence_score': ['packing aman [5] banget semoga cocok [3]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi azarine thanks azarine,Positif,"{'classified_text': 'alhamdulillah aku cocok [3] pakai azarine kulit wajah ku perlahan teratasi azarine thanks azarine', 'tweet_text': ' alhamdulillah aku cocok pakai azarine kulit wajah ku perlahan teratasi azarine thanks azarine', 'sentence_score': ['alhamdulillah aku cocok [3] pakai azarine kulit wajah ku perlahan teratasi azarine thanks azarine'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
repurchased indak bikin kusam affordable,Netral,"{'classified_text': 'repurchased indak bikin kusam [-3] affordable', 'tweet_text': ' repurchased indak bikin kusam affordable', 'sentence_score': ['repurchased indak bikin kusam [-3] affordable'], 'max_positive': 1, 'max_negative': -3, 'kelas': 'negatif'}"
isinya dikit banget bingung mengira enggak isinya,Negatif,"{'classified_text': 'isinya dikit banget bingung [-4] mengira enggak isinya', 'tweet_text': ' isinya dikit banget bingung mengira enggak isinya', 'sentence_score': ['isinya dikit banget bingung [-4] mengira enggak isinya'], 'max_positive': 1, 'max_negative': -4, 'kelas': 'negatif'}"
ringan kulit warna pas,Netral,"{'classified_text': 'ringan kulit warna pas', 'tweet_text': ' ringan kulit warna pas', 'sentence_score': ['ringan kulit warna pas'], 'max_positive': 1, 'max_negative': -1, 'kelas': 'netral'}"
cepat ringan sesuai namanya tinted sunscreen buat menutupi kemerahan aku sebelumnya mencoba shade nina malah jadi kusam kuning akhirnya mencoba shade butter pas,Netral,"{'classified_text': 'cepat [4] ringan sesuai [3] namanya tinted sunscreen buat menutupi [-1] kemerahan aku sebelumnya mencoba shade nina malah jadi kusam [-3] kuning akhirnya mencoba shade butter pas', 'tweet_text': ' cepat ringan sesuai namanya tinted sunscreen buat menutupi kemerahan aku sebelumnya mencoba shade nina malah jadi kusam kuning akhirnya mencoba shade butter pas', 'sentence_score': ['cepat [4] ringan sesuai [3] namanya tinted sunscreen buat menutupi [-1] kemerahan aku sebelumnya mencoba shade nina malah jadi kusam [-3] kuning akhirnya mencoba shade butter pas'], 'max_positive': 4, 'max_negative': -3, 'kelas': 'positif'}"
cepat teksturnya creamy smugeproof loh warnanya kurang pigment,Negatif,"{'classified_text': 'cepat [4] teksturnya creamy smugeproof loh warnanya kurang [-2] pigment', 'tweet_text': ' cepat teksturnya creamy smugeproof loh warnanya kurang pigment', 'sentence_score': ['cepat [4] teksturnya creamy smugeproof loh warnanya kurang [-2] pigment'], 'max_positive': 4, 'max_negative': -2, 'kelas': 'positif'}"
teksturnya ringan mudah menyerap kulit spf nya jadi kalo dipakai daily walaupun enggak full coverage menutupi warna merata dimuka bakalan repurchase,Negatif,"{'classified_text': 'teksturnya ringan mudah [3] menyerap [1] kulit spf nya jadi kalo dipakai daily walaupun enggak full coverage menutupi [-1] warna merata [2] dimuka bakalan repurchase', 'tweet_text': ' teksturnya ringan mudah menyerap kulit spf nya jadi kalo dipakai daily walaupun enggak full coverage menutupi warna merata dimuka bakalan repurchase', 'sentence_score': ['teksturnya ringan mudah [3] menyerap [1] kulit spf nya jadi kalo dipakai daily walaupun enggak full coverage menutupi [-1] warna merata [2] dimuka bakalan repurchase'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
pengiriman cepat packing oke thanks,Netral,"{'classified_text': 'pengiriman cepat [4] packing oke [3] thanks', 'tweet_text': ' pengiriman cepat packing oke thanks', 'sentence_score': ['pengiriman cepat [4] packing oke [3] thanks'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
suka sama warnanya next order warna,Netral,"{'classified_text': 'suka [4] sama warnanya next order warna', 'tweet_text': ' suka sama warnanya next order warna', 'sentence_score': ['suka [4] sama warnanya next order warna'], 'max_positive': 4, 'max_negative': -1, 'kelas': 'positif'}"
tipe kulitku berminyak alhamdulillah cocok thanks,Netral,"{'classified_text': 'tipe kulitku berminyak alhamdulillah cocok [3] thanks', 'tweet_text': ' tipe kulitku berminyak alhamdulillah cocok thanks', 'sentence_score': ['tipe kulitku berminyak alhamdulillah cocok [3] thanks'], 'max_positive': 3, 'max_negative': -1, 'kelas': 'positif'}"
beli serum pas harga flash sale lumayan banget diskonnya packing oke pengiriman lumayan cepat produknya dicoba jadi kasih nilai,Positif,"{'classified_text': 'beli serum pas harga flash sale lumayan [3] banget diskonnya packing oke [3] pengiriman lumayan [2] cepat [5] produknya dicoba jadi kasih nilai [3]', 'tweet_text': ' beli serum pas harga flash sale lumayan banget diskonnya packing oke pengiriman lumayan cepat produknya dicoba jadi kasih nilai', 'sentence_score': ['beli serum pas harga flash sale lumayan [3] banget diskonnya packing oke [3] pengiriman lumayan [2] cepat [5] produknya dicoba jadi kasih nilai [3]'], 'max_positive': 5, 'max_negative': -1, 'kelas': 'positif'}"
